epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,149.589,1.20734,1.26665,1.13791,0.74622,0.76326,0.70997,0.39445,2.09957,1.27239,1.84334,0.000445756,0.000445756,0.000445756
76,151.588,1.15895,1.13501,1.13987,0.73643,0.70797,0.73062,0.37394,2.16027,1.34381,1.88234,0.000429253,0.000429253,0.000429253
77,153.585,1.12175,1.16064,1.1138,0.78426,0.7043,0.74858,0.35768,2.19526,1.40085,1.9137,0.000412749,0.000412749,0.000412749
78,155.576,1.1688,1.26847,1.19198,0.76735,0.68996,0.7599,0.37273,2.17031,1.3804,1.88851,0.000396246,0.000396246,0.000396246
79,157.606,1.2001,1.13228,1.16749,0.77,0.66007,0.75721,0.36874,2.15502,1.33251,1.90982,0.000379743,0.000379743,0.000379743
80,159.634,1.10888,1.18377,1.12643,0.7635,0.67004,0.76199,0.37041,2.10532,1.27363,1.92423,0.000363239,0.000363239,0.000363239
81,161.641,1.1392,1.20512,1.17632,0.76884,0.70341,0.76416,0.40258,2.09447,1.25421,1.91056,0.000346736,0.000346736,0.000346736
82,163.758,1.15313,1.13686,1.13742,0.72119,0.70913,0.7635,0.41032,2.08461,1.22975,1.91088,0.000330233,0.000330233,0.000330233
83,165.764,1.11644,1.15062,1.13098,0.7398,0.75907,0.74653,0.40811,2.086,1.25746,1.89188,0.000313729,0.000313729,0.000313729
84,168.155,1.05834,1.18297,1.09378,0.79709,0.76282,0.77884,0.43675,2.11268,1.24968,1.90895,0.000297226,0.000297226,0.000297226
85,170.191,1.07602,1.04651,1.11364,0.79188,0.70339,0.77576,0.43805,2.10005,1.21237,1.89822,0.000280723,0.000280723,0.000280723
86,172.214,0.99538,1.04879,1.06568,0.79294,0.73828,0.79446,0.4323,2.11911,1.15739,1.92043,0.00026422,0.00026422,0.00026422
87,174.074,1.08763,1.07049,1.11635,0.79728,0.83232,0.8162,0.41928,2.08648,1.14079,1.923,0.000247716,0.000247716,0.000247716
88,175.89,0.95645,1.03319,1.09592,0.79552,0.83333,0.8162,0.40985,2.06458,1.1223,1.8714,0.000231213,0.000231213,0.000231213
89,177.701,1.03116,1.1308,1.10376,0.79841,0.82656,0.8162,0.41157,2.05939,1.11274,1.86322,0.00021471,0.00021471,0.00021471
90,179.65,1.00725,1.11297,1.15155,0.79698,0.81393,0.80953,0.40814,2.02543,1.11522,1.84207,0.000198206,0.000198206,0.000198206
91,181.594,0.92427,1.13452,1.05193,0.76355,0.77083,0.80246,0.40724,2.00707,1.15141,1.83936,0.000181703,0.000181703,0.000181703
92,183.387,0.8378,1.12541,1.08532,0.81917,0.77083,0.81372,0.41725,1.97531,1.21926,1.83441,0.0001652,0.0001652,0.0001652
93,185.198,0.98142,1.1933,1.07538,0.68444,0.77083,0.72501,0.40819,2.01156,1.31158,1.82067,0.000148696,0.000148696,0.000148696
94,187.012,0.92812,1.21219,1.04111,0.65936,0.77083,0.71523,0.38894,1.9969,1.38718,1.79831,0.000132193,0.000132193,0.000132193
95,188.838,0.90833,1.1345,1.05791,0.65784,0.77083,0.69435,0.3838,1.98504,1.45432,1.76668,0.00011569,0.00011569,0.00011569
96,190.628,0.86121,1.15822,1.00844,0.65702,0.77083,0.70497,0.39444,1.99001,1.44671,1.78557,9.91865e-05,9.91865e-05,9.91865e-05
97,192.373,0.87257,1.06906,1.00586,0.72198,0.77083,0.76764,0.41373,1.99714,1.40237,1.79655,8.26832e-05,8.26832e-05,8.26832e-05
98,194.189,0.89259,1.14114,1.06479,0.74974,0.70833,0.75488,0.41082,1.99587,1.36703,1.79004,6.61799e-05,6.61799e-05,6.61799e-05
99,196.075,0.88201,1.11955,1.01124,0.75481,0.77083,0.77872,0.42467,2.01461,1.34961,1.81733,4.96766e-05,4.96766e-05,4.96766e-05
100,197.915,0.95326,1.13426,1.04185,0.79154,0.80619,0.78842,0.42168,2.02473,1.32592,1.82915,3.31733e-05,3.31733e-05,3.31733e-05
