epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,132.584,0.90573,0.94077,1.04029,0.69281,0.77083,0.7086,0.38042,1.9506,1.39568,1.67124,0.000198206,0.000198206,0.000198206
91,134.122,0.84621,1.04507,0.98463,0.6923,0.77083,0.70964,0.37875,1.88944,1.41773,1.66451,0.000181703,0.000181703,0.000181703
92,135.501,0.87988,1.07537,1.07211,0.6821,0.77083,0.69493,0.36589,1.87481,1.42956,1.63959,0.0001652,0.0001652,0.0001652
93,136.864,0.89671,1.09562,0.98408,0.68756,0.77083,0.69597,0.37312,1.85942,1.40643,1.62585,0.000148696,0.000148696,0.000148696
94,138.255,0.80152,1.06246,0.98324,0.68152,0.77083,0.6885,0.38043,1.8389,1.37372,1.61642,0.000132193,0.000132193,0.000132193
95,139.635,0.76799,1.05277,0.95915,0.65831,0.77083,0.6885,0.38017,1.83033,1.35297,1.6183,0.00011569,0.00011569,0.00011569
96,141.01,0.85744,1.03863,0.98823,0.66757,0.77083,0.69493,0.38069,1.83971,1.37538,1.62956,9.91865e-05,9.91865e-05,9.91865e-05
97,142.391,0.74857,1.00497,0.93475,0.68775,0.77083,0.70859,0.38921,1.83766,1.38619,1.62388,8.26832e-05,8.26832e-05,8.26832e-05
98,143.93,0.7835,1.01975,0.98405,0.74248,0.75961,0.70859,0.38717,1.83003,1.37437,1.62437,6.61799e-05,6.61799e-05,6.61799e-05
99,145.333,0.78487,1.02267,0.92284,0.71314,0.70833,0.69492,0.38242,1.79673,1.33332,1.60577,4.96766e-05,4.96766e-05,4.96766e-05
100,146.724,0.8359,1.05362,0.97666,0.72547,0.70833,0.69398,0.38364,1.79669,1.33119,1.60105,3.31733e-05,3.31733e-05,3.31733e-05
